Fri Dec 16 21:35:11 2022,game_id when waiting1
Fri Dec 16 21:36:12 2022,game_id when waiting1
Fri Dec 16 21:36:24 2022,game_id when waiting1
Fri Dec 16 21:46:34 2022,game_id when waiting 1
Fri Dec 16 21:47:22 2022,game_id when waiting 1
Fri Dec 16 21:47:23 2022,"Error: (<class 'KeyboardInterrupt'>, KeyboardInterrupt(), <traceback object at 0x7f62844d2400>)"
Fri Dec 16 21:48:51 2022,1671220131963298493,game_id when waiting 1
Fri Dec 16 21:48:53 2022,1671220133449732967,"Error: (<class 'KeyboardInterrupt'>, KeyboardInterrupt(), <traceback object at 0x7f334a1eebc0>)"
Sat Dec 17 09:24:33 2022,1671261873126537831,game_id when waiting 1
Sat Dec 17 09:24:39 2022,1671261879226775792,game_id when waiting 1
Sat Dec 17 09:24:45 2022,1671261885314469008,connecting started
Sat Dec 17 09:24:45 2022,1671261885315711213,game_id when checking connection 1
Sat Dec 17 09:24:46 2022,1671261886265215426,connecting started
Sat Dec 17 09:24:46 2022,1671261886268511671,game_id when checking connection 1
Sat Dec 17 09:24:48 2022,1671261888283181370,Connecting message and IPs sent to nodes 1 and 2
Sat Dec 17 09:24:48 2022,1671261888285244177,game_id when checking connection 1
Sat Dec 17 09:26:05 2022,1671261965068017888,game_id when waiting 2
Sat Dec 17 09:26:07 2022,1671261967006514898,game_id when waiting 2
Sat Dec 17 09:26:08 2022,1671261968993217303,"Error: (<class 'KeyboardInterrupt'>, KeyboardInterrupt(), <traceback object at 0x7fa9bbdedec0>)"
Sat Dec 17 09:26:09 2022,1671261969086781861,connecting started
Sat Dec 17 09:26:09 2022,1671261969087689258,game_id when checking connection 2
Sat Dec 17 09:26:11 2022,1671261971095194718,Connecting message and IPs sent to nodes 1 and 2
Sat Dec 17 09:26:11 2022,1671261971096885171,game_id when checking connection 2
Sat Dec 17 09:26:18 2022,1671261978297392896,game_id when waiting 3
Sat Dec 17 09:26:20 2022,1671261980239600891,game_id when waiting 3
Sat Dec 17 09:26:22 2022,1671261982261503667,connecting started
Sat Dec 17 09:26:22 2022,1671261982263633582,game_id when checking connection 3
Sat Dec 17 09:26:22 2022,1671261982323922751,connecting started
Sat Dec 17 09:26:22 2022,1671261982325119687,game_id when checking connection 3
Sat Dec 17 09:26:23 2022,1671261983221381175,"Error: (<class 'KeyboardInterrupt'>, KeyboardInterrupt(), <traceback object at 0x7f2de8c7d840>)"
Sat Dec 17 09:26:32 2022,1671261992267428655,Failed to connect with peers.
Sat Dec 17 09:26:32 2022,1671261992325427233,Failed to connect with peers.
Sat Dec 17 09:29:05 2022,1671262145594560645,game_id when waiting 4
Sat Dec 17 09:29:08 2022,1671262148374561210,game_id when waiting 4
Sat Dec 17 09:29:11 2022,1671262151401329867,connecting started
Sat Dec 17 09:29:11 2022,1671262151402243267,game_id when checking connection 4
Sat Dec 17 09:29:11 2022,1671262151664362936,connecting started
Sat Dec 17 09:29:11 2022,1671262151666680746,game_id when checking connection 4
Sat Dec 17 09:29:13 2022,1671262153681651751,Connecting message and IPs sent to nodes 1 and 2
Sat Dec 17 09:29:13 2022,1671262153683255986,game_id when checking connection 4
Sat Dec 17 09:29:20 2022,1671262160720350728,Failed to connect with peers.
Sat Dec 17 09:29:20 2022,1671262160721930888,"Disconnecting with nodes [<NodeConnection: Node 192.168.10.8:10001 <-> Connection 192.168.10.6:10001>, <NodeConnection: Node 192.168.10.8:10001 <-> Connection 192.168.10.4:10001>]"
Sat Dec 17 09:29:21 2022,1671262161675790675,Failed to connect with peers.
Sat Dec 17 09:29:21 2022,1671262161677453215,Disconnecting with nodes [<NodeConnection: Node 192.168.10.6:10001 <-> Connection 192.168.10.8:10001>]
Sat Dec 17 09:29:25 2022,1671262165730604080,Shutting down node.
Sat Dec 17 09:29:26 2022,1671262166698759457,game_id when waiting 5
192.168.10.6,Sat Dec 17 09:33:24 2022,1671262404369697196,game_id when waiting 5
192.168.10.4,Sat Dec 17 09:33:26 2022,1671262406264595194,game_id when waiting 5
192.168.10.6,Sat Dec 17 09:33:27 2022,1671262407402157241,connecting started
192.168.10.6,Sat Dec 17 09:33:27 2022,1671262407405776973,game_id when checking connection 5
192.168.10.8,Sat Dec 17 09:33:28 2022,1671262408022142705,"Error: (<class 'KeyboardInterrupt'>, KeyboardInterrupt(), <traceback object at 0x7fc8a972c880>)"
192.168.10.4,Sat Dec 17 09:33:28 2022,1671262408283021849,connecting started
192.168.10.4,Sat Dec 17 09:33:28 2022,1671262408285959706,game_id when checking connection 5
192.168.10.6,Sat Dec 17 09:33:37 2022,1671262417406392725,Failed to connect with peers.
192.168.10.6,Sat Dec 17 09:33:37 2022,1671262417408087757,Disconnecting with nodes [<NodeConnection: Node 192.168.10.6:10001 <-> Connection 192.168.10.8:10001>]
192.168.10.4,Sat Dec 17 09:33:38 2022,1671262418287143078,Failed to connect with peers.
192.168.10.4,Sat Dec 17 09:33:38 2022,1671262418289454688,Disconnecting with nodes [<NodeConnection: Node 192.168.10.4:10001 <-> Connection 192.168.10.8:10001>]
192.168.10.6,Sat Dec 17 09:33:42 2022,1671262422427179005,game_id when waiting 6
192.168.10.4,Sat Dec 17 09:33:43 2022,1671262423302234247,game_id when waiting 6
192.168.10.4,Sat Dec 17 09:33:49 2022,1671262429394274360,connecting started
192.168.10.4,Sat Dec 17 09:33:49 2022,1671262429397021074,game_id when checking connection 6
192.168.10.6,Sat Dec 17 09:33:49 2022,1671262429503036927,connecting started
192.168.10.6,Sat Dec 17 09:33:49 2022,1671262429506886386,game_id when checking connection 6
192.168.10.8,Sat Dec 17 09:33:50 2022,1671262430708311873,Connecting message and IPs sent to nodes 1 and 2
192.168.10.8,Sat Dec 17 09:33:50 2022,1671262430709646654,game_id when checking connection 6
192.168.10.6,Sat Dec 17 09:47:45 2022,1671263265648684520,game_id when waiting 7
192.168.10.4,Sat Dec 17 09:47:47 2022,1671263267999549425,game_id when waiting 7
192.168.10.4,Sat Dec 17 09:47:49 2022,1671263269014209168,connecting started
192.168.10.4,Sat Dec 17 09:47:49 2022,1671263269017342054,game_id when checking connection 7
192.168.10.6,Sat Dec 17 09:47:49 2022,1671263269683186403,connecting started
192.168.10.6,Sat Dec 17 09:47:49 2022,1671263269686476195,game_id when checking connection 7
192.168.10.8,Sat Dec 17 09:47:49 2022,1671263269696275840,
192.168.10.6,Sat Dec 17 09:47:49 2022,1671263269694627763,
192.168.10.8,Sat Dec 17 09:47:49 2022,1671263269697745262,outbound_node_connected: 4eb8193040f7f37ad53c007a0473236a1e74d8576f9e1e667d50820718243b0ee67717d555d00f93d22fd76180fdca63eb5f293881415d90f78196d9994a540f
192.168.10.4,Sat Dec 17 09:47:49 2022,1671263269704349843,
192.168.10.4,Sat Dec 17 09:47:49 2022,1671263269706667685,inbound_node_connected: 1f6462aa19708173304ef65fe6e2c637490e7729da0e5fe386199d2e6392d7c6f7bb41e1b349cebbeac8b8cedb3bb533c5f6a27841fe93f6670d321d6b227e6a
192.168.10.8,Sat Dec 17 09:47:49 2022,1671263269710541540,
192.168.10.8,Sat Dec 17 09:47:49 2022,1671263269711500396,outbound_node_connected: c350cb1abb099c57045d9ac5a495b113447ce0d777f0c5248576e1211068cd20ae94058da2d1d1dd5f858816a64dcd2da932fe1f7ba22d9cd043030c9ba8c362
192.168.10.6,Sat Dec 17 09:47:49 2022,1671263269711555913,inbound_node_connected: 1f6462aa19708173304ef65fe6e2c637490e7729da0e5fe386199d2e6392d7c6f7bb41e1b349cebbeac8b8cedb3bb533c5f6a27841fe93f6670d321d6b227e6a
